time,Actual,Simulation,Error,0.046142998,0.965537043,,MAE,MSE,,MAE %,MSE ,MR %,Coef,R-square
6:16,499.9818977,499.95419,0.005541747,499.977095,0.000960575,,0.005541741,0.000767717,,,,,,
6:18,499.5066693,499.48277,0.00478458,499.741385,0.046989503,,0.004784581,0.000571177,,,,,,
6:20,499.0314409,499.01221,0.003853637,499.506105,0.095117073,,0.003853645,0.000369828,,,,,,
6:22,498.5562124,498.54783,0.00168134,499.273915,0.143956204,,0.001681335,7.02646E-05,,,,,,
6:24,498.080984,498.08215,0.0002341,499.041075,0.192758011,,0.000234098,1.35956E-06,,,,,,
6:26,497.6057556,497.61167,0.00118858,498.805835,0.241170723,,0.001188571,3.49801E-05,,,,,,
6:28,497.1305271,497.14059,0.002024193,498.570295,0.289615669,,0.002024197,0.000101262,,,,,,
6:30,496.6552987,496.66916,0.002790933,498.33458,0.338118068,,0.00279093,0.000192136,,,,,,
6:32,496.901297,496.91751,0.003262823,498.458755,0.313434078,,0.003262821,0.000262861,,,,,,
6:34,497.1472953,497.16562,0.003685971,498.58281,0.288750379,,0.00368597,0.000335795,,,,,,
6:36,497.3932936,497.41172,0.003704593,498.70586,0.263889043,,0.003704594,0.000339532,,,,,,
6:38,497.6392919,497.657,0.00355842,498.8285,0.238969896,,0.003558421,0.000313577,,,,,,
6:40,497.8852902,497.90428,0.003814089,498.95214,0.214276224,,0.003814091,0.000360613,,,,,,
6:42,498.1312885,498.15099,0.003955079,499.075495,0.189549728,,0.003955082,0.000388149,,,,,,
6:44,498.3772868,498.39749,0.004053792,499.198745,0.164826573,,0.004053796,0.000408169,,,,,,
6:46,498.6232851,498.64402,0.004158425,499.32201,0.14013082,,0.00415843,0.000429936,,,,,,
6:48,498.8692834,498.88951,0.004054483,499.444755,0.115355188,,0.004054489,0.000409115,,,,,,
6:50,499.1152817,499.13357,0.003664136,499.566785,0.090460725,,0.003664143,0.000334462,,,,,,
6:52,499.36128,499.36806,0.001357726,499.68403,0.064632564,,0.001357734,4.59684E-05,,,,,,
6:54,499.6072783,499.59932,0.00159292,499.79966,0.038506585,,0.001592911,6.33345E-05,,,,,,
6:56,499.8532766,499.83396,0.003864464,499.91698,0.01274442,,0.003864454,0.000373131,,,,,,
6:58,500.099275,500.07307,0.005239951,500.036535,0.012545509,,0.00523996,0.000686702,,,,,,
7:00,500.3452733,500.31507,0.006036483,500.157535,0.037521749,,0.006036492,0.000912239,,,,,,
7:02,497.5337997,497.50255,0.006280916,498.751275,0.244702028,,0.00628092,0.000976544,,,,,,
7:04,494.7223261,494.69071,0.006390676,497.345355,0.530202249,,0.006390676,0.000999578,,,,,,
7:06,491.9108525,491.88128,0.006011764,495.94064,0.819210936,,0.00601176,0.000874533,,,,,,
7:08,489.0993789,489.07368,0.00525434,494.53684,1.1117293,,0.005254331,0.000660433,,,,,,
7:10,486.2879054,486.26694,0.004311307,493.13347,1.407718457,,0.004311314,0.000439548,,,,,,
7:12,483.4764318,483.46643,0.002068722,491.733215,1.707794353,,0.002068725,0.000100036,,,,,,
7:14,480.6649582,480.66457,8.08E-05,490.332285,2.011240186,,8.07631E-05,1.50699E-07,,,,,,
7:16,477.8534846,477.85794,0.000932373,488.92897,2.317757588,,0.000932378,1.98506E-05,,,,,,
7:18,475.042011,475.05074,0.001837512,487.52537,2.627843161,,0.001837522,7.61954E-05,,,,,,
7:20,472.2305375,472.24287,0.00261155,486.121435,2.941550026,,0.002611542,0.000152091,,,,,,
7:22,469.4190639,469.43356,0.003088097,484.71678,3.258861277,,0.003088094,0.000210137,,,,,,
7:24,466.6075903,466.62408,0.003533953,483.31204,3.579978133,,0.003533955,0.00027191,,,,,,
7:26,463.7961167,463.81238,0.003506556,481.90619,3.9047488,,0.003506562,0.000264495,,,,,,
7:28,460.9846431,460.99973,0.003272745,480.499865,4.233377878,,0.003272755,0.000227615,,,,,,
7:30,458.1731696,458.18846,0.00333726,479.09423,4.566190643,,0.003337253,0.000233796,,,,,,
7:32,459.7698908,459.78659,0.003632076,479.893295,4.376842547,,0.003632078,0.000278863,,,,,,
7:34,461.366612,461.3837,0.003703769,480.69185,4.188694521,,0.003703779,0.000292,,,,,,
7:36,462.9633333,462.98108,0.003833287,481.49054,4.001873446,,0.003833284,0.000314945,,,,,,
7:38,464.5600545,464.57714,0.003677775,482.28857,3.816194554,,0.003677781,0.000291914,,,,,,
7:40,466.1567758,466.17153,0.003165079,483.085765,3.631608523,,0.003165073,0.000217686,,,,,,
7:42,467.753497,467.75595,0.00052442,483.877975,3.447216986,,0.000524422,6.01721E-06,,,,,,
7:44,469.3502182,469.33712,0.00279072,484.66856,3.263733819,,0.002790709,0.000171563,,,,,,
7:46,470.9469395,470.92193,0.005310468,485.460965,3.081881266,,0.005310471,0.000625475,,,,,,
7:48,472.5436607,472.51126,0.006856663,486.25563,2.901735954,,0.006856657,0.001049805,,,,,,
7:50,474.140382,474.10385,0.007704884,487.051925,2.72314772,,0.007704891,0.001334587,,,,,,
7:52,475.7371032,475.69993,0.007813813,487.849965,2.546125101,,0.007813811,0.001381847,,,,,,
7:54,477.3338244,477.2967,0.00777746,488.64835,2.37035907,,0.00777745,0.001378221,,,,,,
7:56,478.9305457,478.89566,0.007284081,489.44783,2.195993635,,0.007284083,0.001217012,,,,,,
7:58,480.5272669,480.49664,0.006373609,490.24832,2.022997189,,0.006373603,0.000938007,,,,,,
8:00,482.1239882,482.09873,0.005238936,491.049365,1.851261712,,0.005238943,0.000637977,,,,,,
8:02,482.3525693,482.33863,0.002889856,491.169315,1.827863323,,0.002889857,0.000194304,,,,,,
8:04,482.5811504,482.57717,0.00082482,491.288585,1.80434619,,0.000824815,1.58436E-05,,,,,,
8:06,482.8097316,482.81098,0.00025858,491.40549,1.780361463,,0.00025857,1.5585E-06,,,,,,
8:08,483.0383127,483.044,0.001177406,491.522,1.756317683,,0.001177401,3.23454E-05,,,,,,
8:10,483.2668938,483.27643,0.001973276,491.638215,1.732235605,,0.001973278,9.09391E-05,,,,,,
8:12,483.4954749,483.50723,0.002431266,491.753615,1.708007733,,0.002431274,0.000138182,,,,,,
8:14,483.7240561,483.73819,0.0029219,491.869095,1.683819276,,0.002921893,0.000199767,,,,,,
8:16,483.9526372,483.96677,0.002920287,491.983385,1.659407798,,0.002920286,0.000199736,,,,,,
8:18,484.1812183,484.19456,0.002755513,492.09728,1.634937788,,0.002755518,0.000178001,,,,,,
8:20,484.4097994,484.4244,0.003014091,492.2122,1.610702469,,0.003014101,0.000213178,,,,,,
8:22,484.6383806,484.65387,0.003196078,492.326935,1.586451818,,0.003196074,0.000239922,,,,,,
8:24,484.8669617,484.88283,0.003272711,492.441415,1.562171461,,0.003272712,0.000251803,,,,,,
8:26,485.0955428,485.11214,0.003421422,492.55607,1.537950062,,0.003421429,0.000275467,,,,,,
8:28,485.324124,485.34023,0.003318615,492.670115,1.513625768,,0.003318607,0.000259403,,,,,,
8:30,485.5527051,485.56658,0.00285755,492.78329,1.48914522,,0.002857548,0.000192513,,,,,,
8:32,485.5135951,485.51588,0.000470619,492.75794,1.492099289,,0.000470615,5.22077E-06,,,,,,
8:34,485.4744851,485.46167,0.0026397,492.730835,1.494692331,,0.002639706,0.000164227,,,,,,
8:36,485.4353751,485.41089,0.005043938,492.705445,1.497639083,,0.005043946,0.00059952,,,,,,
8:38,485.3962651,485.36473,0.006496764,492.682365,1.501062209,,0.006496774,0.000994463,,,,,,
8:40,485.357155,485.32176,0.007292576,492.66088,1.504814532,,0.007292568,0.001252806,,,,,,
8:42,485.318045,485.28215,0.007396187,492.641075,1.508913603,,0.007396181,0.001288451,,,,,,
8:44,485.278935,485.24316,0.007372053,492.62158,1.513077216,,0.007372049,0.001279851,,,,,,
8:46,485.239825,485.20655,0.006857436,492.603275,1.51748674,,0.006857434,0.001107226,,,,,,
8:48,485.200715,485.17174,0.005971756,492.58587,1.522082464,,0.005971755,0.000839551,,,,,,
8:50,485.161605,485.13745,0.004978752,492.568725,1.52673252,,0.004978753,0.000583464,,,,,,
8:52,485.122495,485.10973,0.00263129,492.554865,1.532060475,,0.002631294,0.000162945,,,,,,
8:54,485.083385,485.08044,0.000607106,492.54022,1.53722746,,0.000607112,8.67303E-06,,,,,,
