time,Actual,Simulation,MAE,MSE,-0.046438257,0.162064326,,MAE %,MSE %,MRD,Coe,R-square
7:54,13.5252,13.20252,2.385768787,0.104122382,0.32268,0.32268,,,,,,
7:56,13.55023,13.22388,2.408446203,0.106504323,0.32635,0.32635,,,,,,
7:58,13.46036,13.16837,2.169258475,0.08525816,0.29199,0.29199,,,,,,
8:00,13.47993,13.181565,2.213401702,0.089021673,0.298365,0.298365,,,,,,
8:02,13.45065,13.1683,2.099155059,0.079721522,0.28235,0.28235,,,,,,
8:04,13.35647,13.121245,1.761131497,0.055330801,0.235225,0.235225,,,,,,
8:06,13.289,13.087505,1.516254045,0.040600235,0.201495,0.201495,,,,,,
8:08,13.25547,13.074385,1.366115272,0.032791777,0.181085,0.181085,,,,,,
8:10,13.49026,13.159945,2.448544357,0.109107999,0.330315,0.330315,,,,,,
8:12,13.45814,13.16826,2.153938063,0.084030414,0.28988,0.28988,,,,,,
8:14,13.3458,13.113955,1.737213206,0.053752104,0.231845,0.231845,,,,,,
8:16,13.35722,13.107665,1.868315413,0.062277698,0.249555,0.249555,,,,,,
8:18,13.24061,13.050075,1.439019803,0.036303586,0.190535,0.190535,,,,,,
8:20,13.34182,13.1611,1.354537837,0.032659718,0.18072,0.18072,,,,,,
8:22,13.27057,13.148855,0.917179895,0.014814541,0.121715,0.121715,,,,,,
8:24,13.43509,13.244695,1.417147187,0.036250256,0.190395,0.190395,,,,,,
8:26,13.42486,13.219505,1.529662134,0.042170676,0.205355,0.205355,,,,,,
8:28,13.3149,13.16309,1.140151259,0.023046276,0.15181,0.15181,,,,,,
8:30,13.18747,13.11529,0.547337738,0.005209952,0.07218,0.07218,,,,,,
8:32,13.29098,13.161415,0.97483406,0.016787089,0.129565,0.129565,,,,,,
8:34,13.23468,13.137155,0.736889747,0.009511126,0.097525,0.097525,,,,,,
8:36,13.25625,13.151895,0.787213579,0.010889966,0.104355,0.104355,,,,,,
8:38,13.45701,13.233475,1.66110451,0.049967896,0.223535,0.223535,,,,,,
8:40,13.42296,13.22759,1.455491188,0.038169437,0.19537,0.19537,,,,,,
8:42,13.31124,13.167415,1.080477852,0.020685631,0.143825,0.143825,,,,,,
8:44,13.29939,13.166415,0.999857888,0.017682351,0.132975,0.132975,,,,,,
8:46,13.19535,13.11288,0.624992895,0.006801301,0.08247,0.08247,,,,,,
8:48,13.1118,13.068685,0.328825943,0.001858903,0.043115,0.043115,,,,,,
8:50,13.11643,13.07789,0.293829952,0.001485332,0.03854,0.03854,,,,,,
8:52,13.30111,13.15027,1.134040693,0.022752706,0.15084,0.15084,,,,,,
8:54,13.07239,13.063815,0.065596268,7.35E-05,0.008575,0.008575,,,,,,
8:56,13.21552,13.11605,0.752675642,0.009894281,0.09947,0.09947,,,,,,
8:58,13.28656,13.147535,1.046358124,0.019327951,0.139025,0.139025,,,,,,
9:00,13.17023,13.109335,0.462368539,0.003708201,0.060895,0.060895,,,,,,
9:02,13.27013,13.149115,0.911935301,0.01464463,0.121015,0.121015,,,,,,
9:04,13.22695,13.1301,0.732217178,0.009379922,0.09685,0.09685,,,,,,
9:06,13.23378,13.13013,0.783222934,0.010743323,0.10365,0.10365,,,,,,
9:08,13.26909,13.148715,0.907183537,0.014490141,0.120375,0.120375,,,,,,
9:10,13.28899,13.074645,1.612951774,0.045943779,0.214345,0.214345,,,,,,
9:12,13.40267,13.14536,1.919841345,0.066208436,0.25731,0.25731,,,,,,
9:14,13.24127,13.0671,1.315357213,0.030335189,0.17417,0.17417,,,,,,
9:16,13.3047,13.082435,1.67057506,0.04940173,0.222265,0.222265,,,,,,
