time,Actual,Stope,Station,General station,,105 flow,,98,102,105,109,113
14:00,12.83624,12.83624,12.80719,12.83624,1,5.40625,22.14583333,4.441840278,3.644097222,5.40625,3.580729167,5.072916667
14:02,12.8196,12.8196,12.73398,12.8196,1,5.40625,22.17534722,4.441840278,3.644097222,5.40625,3.580729167,5.102430556
14:04,12.86762,12.86762,12.82601,12.86762,1,5.40625,22.22135417,4.441840278,3.644097222,5.40625,3.580729167,5.1484375
14:06,12.85367,12.85367,12.82635,12.85367,1,5.40625,22.203125,4.441840278,3.644097222,5.40625,3.580729167,5.130208333
14:08,12.85925,12.85925,12.78312,12.85925,1,5.392361111,22.20891204,4.413194444,3.608506944,5.392361111,3.646701389,5.148148148
14:10,12.91511,12.91511,12.87422,12.91511,1,5.392361111,22.17621528,4.413194444,3.608506944,5.392361111,3.646701389,5.115451389
14:12,12.93632,12.93632,12.89118,12.93632,1,5.392361111,22.17621528,4.413194444,3.608506944,5.392361111,3.646701389,5.115451389
14:14,13.02485,13.02485,12.94145,13.02485,1,5.392361111,22.18142361,4.413194444,3.608506944,5.392361111,3.646701389,5.120659722
14:16,12.95446,12.95446,12.99886,12.95446,1,5.348958333,22.09982639,4.392361111,3.613715278,5.348958333,3.618923611,5.125868056
14:18,12.80681,12.80681,12.716,12.80681,1,5.348958333,22.15190972,4.392361111,3.613715278,5.348958333,3.618923611,5.177951389
14:20,12.85607,12.85607,12.78468,12.85607,1,5.348958333,22.12673611,4.392361111,3.613715278,5.348958333,3.618923611,5.152777778
14:22,12.89617,12.89617,12.87975,12.89617,1,5.348958333,22.13454861,4.392361111,3.613715278,5.348958333,3.618923611,5.160590278
14:24,12.91835,12.91835,12.84414,12.91835,1,5.352430556,22.22395833,4.4140625,3.678819444,5.352430556,3.59375,5.184895833
14:26,12.88241,12.88241,12.88259,12.88241,1,5.352430556,22.18836806,4.4140625,3.678819444,5.352430556,3.59375,5.149305556
14:28,12.88508,12.88508,12.79075,12.88508,1,5.352430556,22.20138889,4.4140625,3.678819444,5.352430556,3.59375,5.162326389
14:30,12.86734,12.86734,12.86676,12.86734,1,5.352430556,22.21788194,4.4140625,3.678819444,5.352430556,3.59375,5.178819444
14:32,12.78345,12.78345,12.73215,12.78345,1,5.380208333,22.15972222,4.380208333,3.640625,5.380208333,3.600694444,5.157986111
14:34,12.7311,12.7311,12.68672,12.7311,1,5.380208333,22.16059028,4.380208333,3.640625,5.380208333,3.600694444,5.158854167
14:36,12.71679,12.71679,12.66017,12.71679,1,5.380208333,22.19010417,4.380208333,3.640625,5.380208333,3.600694444,5.188368056
14:38,12.68471,12.68471,12.65175,12.68471,1,5.380208333,22.19097222,4.380208333,3.640625,5.380208333,3.600694444,5.189236111
14:40,12.66724,12.66724,12.60269,12.66724,1,5.626736111,21.64522569,4.536458333,2.593142361,5.626736111,3.691840278,5.197048611
14:42,12.71125,12.71125,12.65707,12.71125,1,5.626736111,21.62092014,4.536458333,2.593142361,5.626736111,3.691840278,5.172743056
14:44,12.7269,12.7269,12.69026,12.7269,1,5.626736111,21.59864005,4.536458333,2.593142361,5.626736111,3.691840278,5.150462963
14:46,12.66744,12.66744,12.63038,12.66744,1,5.626736111,21.57751736,4.536458333,2.593142361,5.626736111,3.691840278,5.129340278
14:48,12.58106,12.58106,12.53586,12.58106,1,5.868923611,21.68168403,4.704861111,2.127864583,5.868923611,3.811631944,5.168402778
14:50,12.5957,12.5957,12.51617,12.5957,1,5.868923611,21.67821181,4.704861111,2.127864583,5.868923611,3.811631944,5.164930556
14:52,12.597,12.597,12.59076,12.597,1,5.868923611,21.64262153,4.704861111,2.127864583,5.868923611,3.811631944,5.129340278
14:54,12.65997,12.65997,12.54622,12.65997,1,5.868923611,21.62439236,4.704861111,2.127864583,5.868923611,3.811631944,5.111111111
14:56,12.67591,12.67591,12.69616,12.67591,1,5.752604167,21.62421875,4.6015625,2.387239583,5.752604167,3.778645833,5.104166667
14:58,12.71087,12.71087,12.59521,12.71087,1,5.752604167,21.59036458,4.6015625,2.387239583,5.752604167,3.778645833,5.0703125
15:00,12.7922,12.7922,12.77962,12.7922,1,5.752604167,21.60338542,4.6015625,2.387239583,5.752604167,3.778645833,5.083333333
15:02,12.8,12.8,12.74363,12.8,1,5.752604167,21.64765625,4.6015625,2.387239583,5.752604167,3.778645833,5.127604167
15:04,12.82026,12.82026,12.76024,12.82026,1,5.651041667,21.52699653,4.579861111,2.521788194,5.651041667,3.688368056,5.0859375
15:06,12.91087,12.91087,12.86181,12.91087,1,5.651041667,21.54869792,4.579861111,2.521788194,5.651041667,3.688368056,5.107638889
15:08,12.93809,12.93809,12.89587,12.93809,1,5.651041667,21.54435764,4.579861111,2.521788194,5.651041667,3.688368056,5.103298611
15:10,13.06808,13.06808,12.96976,13.06808,1,5.651041667,21.61206597,4.579861111,2.521788194,5.651041667,3.688368056,5.171006944
15:12,13.11827,13.11827,13.12764,13.11827,1,5.517361111,21.40271991,4.541666667,2.592824074,5.517361111,3.59375,5.157118056
15:14,13.07618,13.07618,13.00757,13.07618,1,5.517361111,21.38275463,4.541666667,2.592824074,5.517361111,3.59375,5.137152778
15:16,12.89011,12.89011,12.92492,12.89011,1,5.517361111,21.38622685,4.541666667,2.592824074,5.517361111,3.59375,5.140625
15:18,12.85772,12.85772,12.69241,12.85772,1,5.480902778,21.31223958,4.486979167,2.62734375,5.480902778,3.568576389,5.1484375
15:20,12.95018,12.95018,12.97393,12.95018,1,5.480902778,21.32005208,4.486979167,2.62734375,5.480902778,3.568576389,5.15625
15:22,12.91274,12.91274,12.84982,12.91274,1,5.480902778,21.28793403,4.486979167,2.62734375,5.480902778,3.568576389,5.124131944
15:24,12.88073,12.88073,12.84258,12.88073,1,5.480902778,21.25407986,4.486979167,2.62734375,5.480902778,3.568576389,5.090277778
15:26,12.9693,12.9693,12.86231,12.9693,1,5.374131944,21.19574653,4.472222222,2.645833333,5.374131944,3.541232639,5.162326389
15:28,13.00728,13.00728,13.02395,13.00728,1,5.374131944,21.13324653,4.472222222,2.645833333,5.374131944,3.541232639,5.099826389
15:30,12.9301,12.9301,12.8685,12.9301,1,5.374131944,21.13064236,4.472222222,2.645833333,5.374131944,3.541232639,5.097222222
15:32,12.86222,12.86222,12.82405,12.86222,1,5.374131944,21.19314236,4.472222222,2.645833333,5.374131944,3.541232639,5.159722222
15:34,12.76586,12.76586,12.72658,12.76586,1,5.316840278,21.16822917,4.447048611,2.637847222,5.316840278,3.629340278,5.137152778
15:36,12.71289,12.71289,12.64699,12.71289,1,5.316840278,21.17517361,4.447048611,2.637847222,5.316840278,3.629340278,5.144097222
15:38,12.59194,12.59194,12.59567,12.59194,1,5.316840278,21.12309028,4.447048611,2.637847222,5.316840278,3.629340278,5.092013889
15:40,12.5037,12.5037,12.4235,12.5037,1,5.316840278,21.12916667,4.447048611,2.637847222,5.316840278,3.629340278,5.098090278
15:42,12.45416,12.45416,12.4279,12.45416,1,5.322048611,21.06979167,4.421875,2.651388889,5.322048611,3.559027778,5.115451389
15:44,12.44126,12.44126,12.3765,12.44126,1,5.322048611,21.04461806,4.421875,2.651388889,5.322048611,3.559027778,5.090277778
15:46,12.5153,12.5153,12.45109,12.5153,1,5.322048611,20.98211806,4.421875,2.651388889,5.322048611,3.559027778,5.027777778
15:48,12.54684,12.54684,12.52727,12.54684,1,5.322048611,20.96736111,4.421875,2.651388889,5.322048611,3.559027778,5.013020833
15:50,12.51952,12.51952,12.4735,12.51952,1,5.408854167,20.99192708,4.417534722,2.651909722,5.408854167,3.524045139,4.989583333
15:52,12.48971,12.48971,12.44266,12.48971,1,5.408854167,21.07439236,4.417534722,2.651909722,5.408854167,3.524045139,5.072048611
15:54,12.47454,12.47454,12.42644,12.47454,1,5.408854167,21.03532986,4.417534722,2.651909722,5.408854167,3.524045139,5.032986111
15:56,12.50227,12.50227,12.43768,12.50227,1,5.408854167,21.08914931,4.417534722,2.651909722,5.408854167,3.524045139,5.086805556
15:58,12.51775,12.51775,12.49658,12.51775,1,5.425347222,21.09626736,4.441840278,2.650954861,5.425347222,3.519097222,5.059027778
16:00,12.53471,12.53471,12.46017,12.53471,1,5.425347222,21.10928819,4.441840278,2.650954861,5.425347222,3.519097222,5.072048611
16:02,12.63756,12.63756,12.58716,12.63756,1,5.425347222,21.11189236,4.441840278,2.650954861,5.425347222,3.519097222,5.074652778
16:04,12.66966,12.66966,12.64214,12.66966,1,5.425347222,21.09887153,4.441840278,2.650954861,5.425347222,3.519097222,5.061631944
16:06,12.56436,12.56436,12.53685,12.56436,1,5.506944444,21.22682292,4.458333333,2.66953125,5.506944444,3.495659722,5.096354167
16:08,12.45395,12.45395,12.41116,12.45395,1,5.506944444,21.22074653,4.458333333,2.66953125,5.506944444,3.495659722,5.090277778
16:10,12.47036,12.47036,12.38366,12.47036,1,5.506944444,21.23289931,4.458333333,2.66953125,5.506944444,3.495659722,5.102430556
16:12,12.49401,12.49401,12.48022,12.49401,1,5.506944444,21.25026042,4.458333333,2.66953125,5.506944444,3.495659722,5.119791667
16:14,12.41841,12.41841,12.37855,12.41841,1,5.5,21.41684028,4.444444444,2.6625,5.5,3.745659722,5.064236111
16:16,12.35898,12.35898,12.30132,12.35898,1,5.5,21.42725694,4.444444444,2.6625,5.5,3.745659722,5.074652778
16:18,12.34854,12.34854,12.30344,12.34854,1,5.5,21.47847222,4.444444444,2.6625,5.5,3.745659722,5.125868056
16:20,12.24816,12.24816,12.2193,12.24816,1,5.5,21.4203125,4.444444444,2.6625,5.5,3.745659722,5.067708333
16:22,12.25365,12.25365,12.17437,12.25365,1,5.526909722,21.29973958,4.465277778,2.66953125,5.526909722,3.566840278,5.071180556
16:24,12.31953,12.31953,12.27427,12.31953,1,5.526909722,21.35269097,4.465277778,2.66953125,5.526909722,3.566840278,5.124131944
16:26,12.19721,12.19721,12.20203,12.19721,1,5.526909722,21.34487847,4.465277778,2.66953125,5.526909722,3.566840278,5.116319444
16:28,11.98282,11.98282,11.92894,11.98282,1,5.526909722,21.32838542,4.465277778,2.66953125,5.526909722,3.566840278,5.099826389
16:30,11.82364,11.82364,11.77961,11.82364,1,5.587673611,21.36310764,4.491319444,2.66953125,5.587673611,3.539930556,5.074652778
16:32,11.65458,11.65458,11.62965,11.65458,1,5.587673611,21.38336227,4.491319444,2.66953125,5.587673611,3.539930556,5.094907407
16:34,11.42754,11.42754,11.39651,11.42754,1,5.587673611,21.35703125,4.491319444,2.66953125,5.587673611,3.539930556,5.068576389
16:36,11.12431,11.12431,11.10805,11.12431,1,5.587673611,21.33446181,4.491319444,2.66953125,5.587673611,3.539930556,5.046006944
16:38,10.7822,10.7822,10.76568,10.7822,1,5.657118056,21.47170139,4.526909722,2.689583333,5.657118056,3.598090278,5
16:40,10.61232,10.61232,10.52657,10.61232,1,5.657118056,21.40833333,4.526909722,2.689583333,5.657118056,3.598090278,4.936631944
16:42,10.61662,10.61662,10.55795,10.61662,1,5.657118056,21.38315972,4.526909722,2.689583333,5.657118056,3.598090278,4.911458333
16:44,10.56292,10.56292,10.56428,10.56292,1,5.657118056,21.3171875,4.526909722,2.689583333,5.657118056,3.598090278,4.845486111
16:46,10.41945,10.41945,10.36032,10.41945,1,5.655381944,21.23689236,4.526909722,2.71171875,5.655381944,3.558159722,4.784722222
16:48,10.27573,10.27573,10.25931,10.27573,1,5.655381944,21.16831597,4.526909722,2.71171875,5.655381944,3.558159722,4.716145833
16:50,10.13478,10.13478,10.07805,10.13478,1,5.655381944,21.14314236,4.526909722,2.71171875,5.655381944,3.558159722,4.690972222
16:52,10.03403,10.03403,10.00124,10.03403,1,5.655381944,21.13793403,4.526909722,2.71171875,5.655381944,3.558159722,4.685763889
16:54,9.9349,9.9349,9.8886,9.9349,1,5.517361111,20.94036458,4.511284722,2.689496528,5.517361111,3.537326389,4.684895833
16:56,9.84034,9.84034,9.80911,9.84034,1,5.517361111,20.89782986,4.511284722,2.689496528,5.517361111,3.537326389,4.642361111
16:58,9.71201,9.71201,9.67912,9.71201,1,5.517361111,20.85703125,4.511284722,2.689496528,5.517361111,3.537326389,4.6015625
17:00,9.60925,9.60925,9.55724,9.60925,1,5.517361111,20.85355903,4.511284722,2.689496528,5.517361111,3.537326389,4.598090278
17:02,9.49948,9.49948,9.47269,9.49948,1,5.459201389,20.70451389,4.490451389,2.696701389,5.459201389,3.5078125,4.550347222
17:04,9.40041,9.40041,9.36149,9.40041,1,5.459201389,20.70017361,4.490451389,2.696701389,5.459201389,3.5078125,4.546006944
17:06,9.35767,9.35767,9.29931,9.35767,1,5.459201389,20.659375,4.490451389,2.696701389,5.459201389,3.5078125,4.505208333
17:08,9.33004,9.33004,9.31004,9.33004,1,5.459201389,20.6287037,4.490451389,2.696701389,5.459201389,3.5078125,4.474537037
17:10,9.31638,9.31638,9.26143,9.31638,1,5.446180556,20.59071181,4.497395833,2.66796875,5.446180556,3.5078125,4.471354167
17:12,9.37845,9.37845,9.32145,9.37845,1,5.446180556,20.57074653,4.497395833,2.66796875,5.446180556,3.5078125,4.451388889
17:14,9.49349,9.49349,9.45665,9.49349,1,5.446180556,20.55425347,4.497395833,2.66796875,5.446180556,3.5078125,4.434895833
17:16,9.54628,9.54628,9.51162,9.54628,1,5.446180556,20.55338542,4.497395833,2.66796875,5.446180556,3.5078125,4.434027778
