time,Actual,Simulation,MAE,MSE,0.21989575,0.430133972,MAE %,MSE ,MR %,Coef,R-square
9:20,44.4125,43.51442,2.022133408,0.806547686,0.89808,0.89808,,,,,
9:22,44.7375,43.88005,1.916624756,0.735220503,0.85745,0.85745,,,,,
9:24,44.9625,43.98291,2.178682235,0.959596568,0.97959,0.97959,,,,,
9:26,44.7,43.7772,2.06442953,0.85155984,0.9228,0.9228,,,,,
9:28,44.275,43.18881,2.453280632,1.179808716,1.08619,1.08619,,,,,
9:30,44.15,43.30647,1.910600227,0.711542861,0.84353,0.84353,,,,,
9:32,44.7375,43.76573,2.172159821,0.944336933,0.97177,0.97177,,,,,
9:34,44.325,43.33166,2.241037789,0.986724356,0.99334,0.99334,,,,,
9:36,44.125,43.17294,2.157643059,0.906418244,0.95206,0.95206,,,,,
9:38,44.125,43.17028,2.163671388,0.911490278,0.95472,0.95472,,,,,
9:40,43.6625,42.88012,1.791880905,0.612118464,0.78238,0.78238,,,,,
9:42,44.2375,43.36796,1.965617406,0.756099812,0.86954,0.86954,,,,,
9:44,44.45,43.60818,1.893858268,0.708660912,0.84182,0.84182,,,,,
9:46,44.675,43.82118,1.91118075,0.729008592,0.85382,0.85382,,,,,
9:48,44.2375,43.22,2.30008477,1.03530625,1.0175,1.0175,,,,,
9:50,44.5625,43.61665,2.122524544,0.894632223,0.94585,0.94585,,,,,
9:52,44.275,43.31727,2.163139469,0.917246753,0.95773,0.95773,,,,,
9:54,44.475,43.46811,2.263946037,1.013827472,1.00689,1.00689,,,,,
9:56,44.3875,43.43541,2.144950718,0.906475368,0.95209,0.95209,,,,,
9:58,43.8375,42.96854,1.982229826,0.755091482,0.86896,0.86896,,,,,
10:00,44.15,43.32359,1.87182333,0.682953488,0.82641,0.82641,,,,,
10:02,43.8375,42.74382,2.494850299,1.196135942,1.09368,1.09368,,,,,
10:04,43.8625,42.97937,2.013405529,0.779918597,0.88313,0.88313,,,,,
10:06,43.8625,42.94163,2.099447136,0.848001557,0.92087,0.92087,,,,,
10:08,44.125,43.55725,1.286685552,0.322340062,0.56775,0.56775,,,,,
10:10,44.1875,43.31205,1.981216407,0.766412703,0.87545,0.87545,,,,,
10:12,44.1,43.20542,2.028526077,0.800273376,0.89458,0.89458,,,,,
