time,Actual,Stope,Station,0.212227045
10:20,3.80385205,3.80385205,3.80385205,3.494853598
10:22,3.77087034,3.77087034,3.77087034,3.481388807
10:24,3.813934484,3.813934484,3.813934484,3.468410651
10:26,3.778182825,3.778182825,3.778182825,3.504684428
10:28,3.836065193,3.836065193,3.836065193,3.67564645
10:30,3.795046857,3.795046857,3.795046857,3.680250799
10:32,3.77986212,3.77986212,3.77986212,3.568178765
10:34,3.767473988,3.767473988,3.767473988,3.558906517
10:36,3.813650159,3.813650159,3.813650159,3.611792029
10:38,3.762134007,3.762134007,3.762134007,3.594206047
10:40,3.772074279,3.772074279,3.772074279,3.519634065
10:42,3.776361368,3.776361368,3.776361368,3.642013318
10:44,3.766321138,3.766321138,3.766321138,3.567293061
10:46,3.75159843,3.75159843,3.75159843,3.696380015
10:48,3.733919185,3.733919185,3.733919185,3.608802237
10:50,3.703061028,3.703061028,3.703061028,3.626201383
10:52,3.750787659,3.750787659,3.750787659,3.507635931
10:54,3.768904498,3.768904498,3.768904498,3.515469971
10:56,3.737015663,3.737015663,3.737015663,3.517636021
10:58,3.775324025,3.775324025,3.775324025,3.568774726
11:00,3.696659271,3.696659271,3.696659271,3.636318234
11:02,3.764832874,3.764832874,3.764832874,3.63373061
11:04,3.784191414,3.784191414,3.784191414,3.561737146
11:06,3.740460883,3.740460883,3.740460883,3.610160415
11:08,3.749861381,3.749861381,3.749861381,3.653314655
11:10,3.715184827,3.715184827,3.715184827,3.60799578
11:12,3.743310798,3.743310798,3.743310798,3.657759856
11:14,3.709820412,3.709820412,3.709820412,3.584487709
11:16,3.771754413,3.771754413,3.771754413,3.633342019
11:18,3.742375635,3.742375635,3.742375635,3.644595278
11:20,3.723554647,3.723554647,3.723554647,3.651653474
11:22,3.729296681,3.729296681,3.729296681,3.691601839
11:24,3.687611958,3.687611958,3.687611958,3.573927488
11:26,3.73408356,3.73408356,3.73408356,3.609209219
11:28,3.714687258,3.714687258,3.714687258,3.538292451
11:30,3.664168466,3.664168466,3.664168466,3.717366946
11:32,3.669828312,3.669828312,3.669828312,3.627626492
11:34,3.705713248,3.705713248,3.705713248,3.646068971
11:36,3.726655567,3.726655567,3.726655567,3.678192535
11:38,3.725898108,3.725898108,3.725898108,3.704157997
11:40,3.655974128,3.655974128,3.655974128,3.630457014
11:42,3.682460787,3.682460787,3.682460787,3.584964371
11:44,3.745720897,3.745720897,3.745720897,3.577731386
11:46,3.712441534,3.712441534,3.712441534,3.636191111
11:48,3.695724108,3.695724108,3.695724108,3.591545319
11:50,3.707028251,3.707028251,3.707028251,3.626295595
11:52,3.679422062,3.679422062,3.679422062,3.659645973
11:54,3.712177201,3.712177201,3.712177201,3.571385916
11:56,3.683227132,3.683227132,3.683227132,3.607757404
11:58,3.728248232,3.728248232,3.728248232,3.609304322
12:00,3.74937714,3.74937714,3.74937714,3.638704961
12:02,3.714602849,3.714602849,3.714602849,3.590837903
12:04,3.734998732,3.734998732,3.734998732,3.579509444
12:06,3.74846419,3.74846419,3.74846419,3.568249767
12:08,3.723292535,3.723292535,3.723292535,3.64484821
12:10,3.731451332,3.731451332,3.731451332,3.645064551
12:12,3.728619187,3.728619187,3.728619187,3.690600038
12:14,3.694617906,3.694617906,3.694617906,3.661513164
12:16,3.684704289,3.684704289,3.684704289,3.573551032
12:18,3.63887464,3.63887464,3.63887464,3.589189339
12:20,3.682727342,3.682727342,3.682727342,3.599187197
12:22,3.657289132,3.657289132,3.657289132,3.597644744
12:24,3.69500441,3.69500441,3.69500441,3.610491901
12:26,3.691861285,3.691861285,3.691861285,3.589555938
12:28,3.693987059,3.693987059,3.693987059,3.570728633
12:30,3.674843984,3.674843984,3.674843984,3.569046088
12:32,3.672593818,3.672593818,3.672593818,3.558792808
12:34,3.678593521,3.678593521,3.678593521,3.549511041
12:36,3.660030203,3.660030203,3.660030203,3.598000041
12:38,3.626315467,3.626315467,3.626315467,3.586215976
12:40,3.686725663,3.686725663,3.686725663,3.568649971
12:42,3.66612098,3.66612098,3.66612098,3.569282878
12:44,3.679528684,3.679528684,3.679528684,3.575337444
12:46,3.7422468,3.7422468,3.7422468,3.590138779
12:48,3.758182333,3.758182333,3.758182333,3.565779323
12:50,3.694262499,3.694262499,3.694262499,3.57794412
12:52,3.630862448,3.630862448,3.630862448,3.5602137
12:54,3.686034842,3.686034842,3.686034842,3.549932891
12:56,3.683162714,3.683162714,3.683162714,3.54368039
12:58,3.684799805,3.684799805,3.684799805,3.539101536
13:00,3.669328522,3.669328522,3.669328522,3.528737245
13:02,3.663875256,3.663875256,3.663875256,3.517160494
13:04,3.650722999,3.650722999,3.650722999,3.517160494
13:06,3.650429789,3.650429789,3.650429789,3.519263755
13:08,3.641982224,3.641982224,3.641982224,3.519263755
13:10,3.674619634,3.674619634,3.674619634,3.523470278
13:12,3.681625582,3.681625582,3.681625582,3.523470278
13:14,3.642730799,3.642730799,3.642730799,3.523470278
13:16,3.713918692,3.713918692,3.713918692,3.5276768
13:18,3.681259069,3.681259069,3.681259069,3.533986584
13:20,3.683726922,3.683726922,3.683726922,3.536089845
13:22,3.67402655,3.67402655,3.67402655,3.536089845
13:24,3.638026107,3.638026107,3.638026107,3.536089845
13:26,3.642224345,3.642224345,3.642224345,3.536089845
13:28,3.644363447,3.644363447,3.644363447,3.529780061
13:30,3.631384451,3.631384451,3.631384451,3.529780061
13:32,3.635496058,3.635496058,3.635496058,3.529780061
13:34,3.64149354,3.64149354,3.64149354,3.536089845
13:36,3.652448941,3.652448941,3.652448941,3.538193106
13:38,3.669055303,3.669055303,3.669055303,3.54450289
13:40,3.646531425,3.646531425,3.646531425,3.546533625
13:42,3.613325365,3.613325365,3.613325365,3.546533625
13:44,3.62449401,3.62449401,3.62449401,3.54450289
13:46,3.625826784,3.625826784,3.625826784,3.540296368
13:48,3.622652561,3.622652561,3.622652561,3.538193106
13:50,3.590952535,3.590952535,3.590952535,3.538193106
13:52,3.63384564,3.63384564,3.63384564,3.5276768
13:54,3.604922226,3.604922226,3.604922226,3.5276768
13:56,3.636366804,3.636366804,3.636366804,3.5276768
13:58,3.620482361,3.620482361,3.620482361,3.523470278
14:00,3.577584813,3.577584813,3.577584813,3.519263755
14:02,3.609024948,3.609024948,3.609024948,3.515057233
14:04,3.622783617,3.622783617,3.622783617,3.513026498
14:06,3.605966232,3.605966232,3.605966232,3.513026498
14:08,3.625349206,3.625349206,3.625349206,3.515057233
14:10,3.63527615,3.63527615,3.63527615,3.517160494
14:12,3.633994466,3.633994466,3.633994466,3.523470278
14:14,3.664719346,3.664719346,3.664719346,3.533986584
14:16,3.577415995,3.577415995,3.577415995,3.538193106
14:18,3.568237626,3.568237626,3.568237626,3.540296368
14:20,3.612883328,3.612883328,3.612883328,3.54450289
14:22,3.599875456,3.599875456,3.599875456,3.546533625
14:24,3.622512619,3.622512619,3.622512619,3.55494667
14:26,3.575123624,3.575123624,3.575123624,3.561256454
14:28,3.608973858,3.608973858,3.608973858,3.567566238
14:30,3.572664656,3.572664656,3.572664656,3.567566238
14:32,3.554438974,3.554438974,3.554438974,3.567566238
14:34,3.545100672,3.545100672,3.545100672,3.569669499
14:36,3.549365548,3.549365548,3.549365548,3.567566238
14:38,3.537437223,3.537437223,3.537437223,3.55494667
14:40,3.555363031,3.555363031,3.555363031,3.546533625
14:42,3.579837201,3.579837201,3.579837201,3.538193106
14:44,3.581356563,3.581356563,3.581356563,3.533986584
14:46,3.558985954,3.558985954,3.558985954,3.525573539
14:48,3.540178294,3.540178294,3.540178294,3.517160494
14:50,3.567138088,3.567138088,3.567138088,3.515057233
14:52,3.550549496,3.550549496,3.550549496,3.513026498
14:54,3.594497713,3.594497713,3.594497713,3.508819975
14:56,3.558766047,3.558766047,3.558766047,3.508819975
14:58,3.602252236,3.602252236,3.602252236,3.513026498
15:00,3.609984545,3.609984545,3.609984545,3.517160494
15:02,3.60306967,3.60306967,3.60306967,3.519263755
15:04,3.616504031,3.616504031,3.616504031,3.525573539
15:06,3.633023762,3.633023762,3.633023762,3.529780061
15:08,3.629474141,3.629474141,3.629474141,3.536089845
15:10,3.679286564,3.679286564,3.679286564,3.540296368
15:12,3.6584753,3.6584753,3.6584753,3.540296368
15:14,3.655309962,3.655309962,3.655309962,3.540296368
15:16,3.551013745,3.551013745,3.551013745,3.538193106
15:18,3.638492578,3.638492578,3.638492578,3.538193106
15:20,3.624989357,3.624989357,3.624989357,3.536089845
15:22,3.613589699,3.613589699,3.613589699,3.533986584
15:24,3.603067449,3.603067449,3.603067449,3.536089845
15:26,3.667238288,3.667238288,3.667238288,3.538193106
15:28,3.63014275,3.63014275,3.63014275,3.540296368
15:30,3.608207514,3.608207514,3.608207514,3.538193106
15:32,3.590183969,3.590183969,3.590183969,3.533986584
15:34,3.572111555,3.572111555,3.572111555,3.525573539
15:36,3.595137445,3.595137445,3.595137445,3.513026498
