time,Actual,Simulation,Savings,0.921059429,7.804575441
11:42,13.42608,13.15145,0.27463,2.045496526,
11:44,13.44726,13.11024,0.33702,2.506235471,
11:46,13.34668,13.1188,0.22788,1.707390902,
11:48,13.40505,13.12065,0.2844,2.121588506,
11:50,13.34637,13.10284,0.24353,1.824690908,
11:52,13.28446,13.12926,0.1552,1.168282339,
11:54,13.25584,13.13082,0.12502,0.94313148,
11:56,13.28589,13.1741,0.11179,0.841418979,
11:58,13.23401,13.14745,0.08656,0.654072348,
12:00,13.21026,13.1144,0.09586,0.725648095,
12:02,13.29866,13.16337,0.13529,1.017320542,
12:04,13.23661,13.17106,0.06555,0.495217431,
12:06,13.19052,13.14526,0.04526,0.343125214,
12:08,13.1331,13.14561,-0.01251,-0.095255499,
12:10,13.17727,13.16085,0.01642,0.124608511,
12:12,13.26825,13.13101,0.13724,1.034348916,
12:14,13.18885,13.17932,0.00953,0.072258006,
12:16,13.12945,13.11695,0.0125,0.095205816,
12:18,13.30849,13.17347,0.13502,1.014540342,
12:20,13.32539,13.12991,0.19548,1.46697395,
12:22,13.23285,13.16674,0.06611,0.499590035,
12:24,13.27624,13.12887,0.14737,1.11002814,
12:26,13.14212,13.20627,-0.06415,-0.488125204,
12:28,13.18042,13.13014,0.05028,0.381474945,
12:30,13.15585,13.14432,0.01153,0.08764162,
12:32,13.10061,13.11832,-0.01771,-0.135184545,
12:34,13.06656,13.19817,-0.13161,-1.00722761,
12:36,12.96664,13.16725,-0.20061,-1.547124004,
12:38,13.07837,13.15301,-0.07464,-0.570713323,
12:40,13.08692,13.15098,-0.06406,-0.489496383,
12:42,12.99658,13.16823,-0.17165,-1.32073207,
12:44,13.04568,13.13977,-0.09409,-0.721234922,
12:46,13.02795,13.14564,-0.11769,-0.903365457,
12:48,13.05071,13.19755,-0.14684,-1.125149513,
12:50,13.11116,13.14958,-0.03842,-0.293032806,
12:52,13.11589,13.19575,-0.07986,-0.608879763,
12:54,13.61102,13.15852,0.4525,3.32451205,
12:56,12.79277,13.16319,-0.37042,-2.895541779,
12:58,13.2828,13.1842,0.0986,0.742313368,
13:00,12.78923,12.72025,0.06898,0.539360071,
13:02,12.73149,11.91339,0.8181,6.425799337,
13:04,12.72955,11.64749,1.08206,8.500379039,
13:06,12.69982,11.57008,1.12974,8.895716632,
13:08,12.67485,11.53375,1.1411,9.002867884,
13:10,12.62415,11.50183,1.12232,8.890261919,
13:12,12.76231,11.52926,1.23305,9.661652162,
13:14,12.83698,11.62048,1.2165,9.476527968,
13:16,12.72946,11.62232,1.10714,8.697462422,
13:18,12.64055,11.54628,1.09427,8.656822686,
13:20,12.50315,11.4486,1.05455,8.434274563,
13:22,12.59902,11.40947,1.18955,9.441607363,
13:24,12.70946,11.48829,1.22117,9.608354722,
13:26,12.71867,11.5445,1.17417,9.231861508,
13:28,12.71377,11.55501,1.15876,9.114212385,
13:30,12.73588,11.56517,1.17071,9.192219148,
13:32,12.70333,11.56638,1.13695,8.950015468,
13:34,12.69245,11.54968,1.14277,9.003541475,
13:36,12.62267,11.52034,1.10233,8.732938435,
13:38,12.71071,11.51782,1.19289,9.384920276,
13:40,12.01046,11.5537,0.45676,3.803018369,
13:42,12.11773,11.56002,0.55771,4.602429663,
13:44,12.12695,11.55976,0.56719,4.677103476,
13:46,12.12627,11.53449,0.59178,4.880148636,
13:48,12.1108,11.55875,0.55205,4.558328104,
13:50,14.10974,11.59259,2.51715,17.83980428,
13:52,13.93116,11.54096,2.3902,17.15722165,
13:54,12.65188,11.4896,1.16228,9.186618906,
13:56,12.50237,11.45056,1.05181,8.412884917,
13:58,12.50136,11.37329,1.12807,9.023578235,
14:00,12.32283,11.28139,1.04144,8.451305423,
14:02,12.30093,11.20336,1.09757,8.922658693,
14:04,12.32021,11.19187,1.12834,9.158447786,
14:06,12.39085,11.22424,1.16661,9.415092588,
14:08,12.3494,11.24315,1.10625,8.957925081,
14:10,12.36422,11.22944,1.13478,9.177934395,
14:12,12.45416,11.26761,1.18655,9.527338656,
14:14,12.47609,11.32118,1.15491,9.256986764,
14:16,12.32842,11.28267,1.04575,8.482433272,
14:18,12.39323,11.23436,1.15887,9.350831059,
14:20,12.33512,11.23929,1.09583,8.883821155,
14:22,12.38321,11.22959,1.15362,9.316001263,
14:24,12.37104,11.25175,1.11929,9.047662929,
14:26,12.39136,11.24953,1.14183,9.214727036,
14:28,12.36333,11.24725,1.11608,9.027341339,
14:30,12.40953,11.24878,1.16075,9.353698327,
14:32,12.30111,11.23644,1.06467,8.655072591,
14:34,12.37365,11.21088,1.16277,9.397146355,
14:36,12.40471,11.25329,1.15142,9.282119453,
14:38,12.34826,11.24756,1.1007,8.91380648,
14:40,12.36299,11.22641,1.13658,9.193407097,
14:42,12.31798,11.21865,1.09933,8.924596403,
14:44,12.31943,11.19467,1.12476,9.129967864,
14:46,12.35549,11.20288,1.15261,9.328727554,
14:48,12.43147,11.24776,1.18371,9.52188277,
14:50,12.34673,11.25751,1.08922,8.821930989,
14:52,12.39967,11.23913,1.16054,9.35944263,
14:54,12.43156,11.27358,1.15798,9.314840615,
14:56,12.4366,11.29154,1.14506,9.207178811,
14:58,12.39525,11.28365,1.1116,8.967951433,
15:00,12.34989,11.24719,1.1027,8.928824467,
15:02,12.41932,11.24736,1.17196,9.43658751,
15:04,12.52516,11.31887,1.20629,9.630934854,
15:06,12.46851,11.35328,1.11523,8.944372664,
15:08,12.44252,11.31891,1.12361,9.030405416,
15:10,12.43205,11.30333,1.12872,9.079114064,
15:12,11.91925,11.26093,0.65832,5.523166307,
15:14,12.13047,11.20394,0.92653,7.638038757,
15:16,12.1105,11.21783,0.89267,7.371041658,
15:18,12.10116,11.2775,0.82366,6.806454918,
15:20,12.12496,11.27119,0.85377,7.041425291,
15:22,12.11146,11.23857,0.87289,7.207141005,
15:24,12.12564,11.23678,0.88886,7.330417199,
15:26,12.10269,11.23855,0.86414,7.140065556,
15:28,12.13293,11.23531,0.89762,7.398212963,
15:30,12.09359,11.22486,0.86873,7.183392194,
15:32,12.09852,11.20627,0.89225,7.374868992,
15:34,12.10833,11.10326,1.00507,8.300649222,
15:36,12.13082,11.01696,1.11386,9.182066835,
15:38,12.13806,10.92737,1.21069,9.974328682,
15:40,12.11283,10.92642,1.18641,9.794655749,
15:42,12.12705,10.96123,1.16582,9.613384953,
15:44,12.11712,10.94947,1.16765,9.636365737,
15:46,12.12087,10.96211,1.15876,9.560039832,
15:48,13.09565,10.9737,2.12195,16.20347215,
15:50,12.05063,10.98384,1.06679,8.852566214,
15:52,12.05374,10.96034,1.0934,9.07104351,
15:54,12.03983,10.9513,1.08853,9.0410745,
15:56,12.08245,10.95516,1.12729,9.329978605,
15:58,12.03042,10.95456,1.07586,8.942829926,
16:00,12.13035,10.96266,1.16769,9.626185559,
16:02,12.04158,10.98247,1.05911,8.795440465,
16:04,11.94998,10.90942,1.04056,8.707629636,
16:06,11.99777,10.87996,1.11781,9.316814708,
16:08,12.07827,10.92336,1.15491,9.561882621,
16:10,12.03389,10.94571,1.08818,9.042628776,
16:12,11.92971,10.89097,1.03874,8.707168909,
16:14,11.93703,10.83915,1.09788,9.197262636,
16:16,11.96683,10.8496,1.11723,9.336056416,
16:18,11.94777,10.85519,1.09258,9.144635359,
16:20,10.61194,10.25447,0.35747,3.368564089,
16:22,10.43116,9.6807,0.75046,7.194405991,
16:24,10.45369,9.54529,0.9084,8.689754527,
16:26,10.40211,9.50856,0.89355,8.590084127,
16:28,10.38183,9.46663,0.9152,8.815401524,
16:30,10.30973,9.4305,0.87923,8.528157381,
16:32,10.33567,9.38911,0.94656,9.158187133,
16:34,10.39991,9.41342,0.98649,9.485562856,
16:36,10.27519,9.41052,0.86467,8.415124197,
16:38,10.26456,9.33123,0.93333,9.092742407,
16:40,10.27728,9.31157,0.96571,9.396552395,
16:42,10.30109,9.30739,0.9937,9.646551967,
16:44,10.31288,9.31224,1.00064,9.702818223,
16:46,10.3188,9.31175,1.00705,9.759371245,
16:48,10.29774,9.30338,0.99436,9.656099299,
16:50,10.3515,9.30651,1.04499,10.09505869,
16:52,10.36894,9.35563,1.01331,9.772551485,
16:54,10.36322,9.38001,0.98321,9.487495199,
16:56,10.48443,9.42281,1.06162,10.12568161,
16:58,10.50213,9.50085,1.00128,9.534065947,
17:00,10.50191,9.51493,0.98698,9.398099965,
17:02,10.53852,9.53173,1.00679,9.553428755,
17:04,10.50226,9.54479,0.95747,9.116799622,
17:06,10.52567,9.53065,0.99502,9.453269958,
17:08,10.57368,9.55776,1.01592,9.608007808,
17:10,10.55838,9.58277,0.97561,9.240148583,
17:12,10.56231,9.5774,0.98491,9.324759451,
17:14,10.55997,9.57996,0.98001,9.280424092,
17:16,10.54589,9.57367,0.97222,9.218946907,
17:18,10.46598,9.54237,0.92361,8.82487832,
17:20,10.53365,9.51511,1.01854,9.669392851,
17:22,10.56259,9.56016,1.00243,9.490380674,
17:24,10.62926,9.59559,1.03367,9.724759767,
